ERK_ID;ERK_DATUM;ERK_PRUEFER;ERK_KOORDINATEN;ERK_ORT;ERK_AUFSCHLUSS_OB;ERK_AUFSCHLUSS_TOB;ERK_AUFSCHLUSS_UG;ERK_OBERKANTE;ERK_BELASTUNGSKLASSE;ERK_PECH_QUALITATIV;ERK_PECH_QUANTITATIV;ERK_TRAG_PLANUM;ERK_TRAG_GRABENSOHLE;ERK_VERBUND_UNTERLAGE;ERK_LP;ERK_LP1;ERK_LP2;ERK_LP3;ERK_LP_MEAN;ERK_LP_EV;ERK_LP_EV15;ERK_LP_EV2;SCHICHT_ID;CHEMIE_ID;SCHICHT_NR;SCHICHT_AUFSCHLUSS;SCHICHT_ART;SCHICHT_KOERNUNG;SCHICHT_DICKE;SCHICHT_TIEFE_START;SCHICHT_TIEFE_ENDE;SCHICHT_PECH;SCHICHT_RUNDUNGSGRAD_GESTUFTHEIT;SCHICHT_FARBE;SCHICHT_KONSISTENZ;SCHICHT_FEUCHTIGKEIT;SCHICHT_WASSERGEHALT;SCHICHT_WASSERPROCTOR;SCHICHT_BEMERKUNGEN;SCHICHT_BEHAELTNIS;SCHICHT_ABFALLART;SCHICHT_GERUCH;SCHICHT_KORNGROESSENVERTEILUNG;SCHICHT_RUK_NR;SCHICHT_RUK_PROBE;SCHICHT_RUK;SCHICHT_DRUCKFESTIGKEIT;CHEMIE_MUFV;CHEMIE_LFS;CHEMIE_LAGA_BO;CHEMIE_LAGA_RC;CHEMIE_LAGARC_ORIENTIERUNGSWERT;CHEMIE_TLGESTEIN;CHEMIE_DEPV;CHEMIE_ENTSCHEIDUNGSHILFE;CHEMIE_REKU;CHEMIE_ASBEST;CHEMIE_PCB;CHEMIE_BTEX;;;;
FB1;26.06.2020;"Plakolli, Mensur;Meyer, Ronny";32U 375643 5556658;K 35, NK 5809 018 – NK 5809 016, Stat. 0+100, FS FR Bruttig;Bk400;Handschurf;Kleinrammbohrung;FOK;1;nein;;;;;1;0,42;0,39;0,39;0,40;56,3;48;86;1;;1;GOB;Asphalt;0/8;2,5;0;2,5;nein;;schwarz-grau;;;;;;;Asphalt;neutral;;1;Sammelprobe;56,0;;;;;;;;;;;;;;;;;
FB1;26.06.2020;"Plakolli, Mensur;Meyer, Ronny";32U 375643 5556658;K 35, NK 5809 018 – NK 5809 016, Stat. 0+100, FS FR Bruttig;Bk400;Handschurf;Kleinrammbohrung;FOK;1;nein;;;;;1;0,42;0,39;0,39;0,40;56,3;48;86;2;;2;GOB;Asphalt;0/16;3,5;2,5;6;nein;;schwarz-grau;;;;;;;Asphalt;neutral;;2;Sammelprobe;51,0;;;;;;;;;;;;;;;;;
FB1;26.06.2020;"Plakolli, Mensur;Meyer, Ronny";32U 375643 5556658;K 35, NK 5809 018 – NK 5809 016, Stat. 0+100, FS FR Bruttig;Bk400;Handschurf;Kleinrammbohrung;FOK;1;nein;;;;;1;0,42;0,39;0,39;0,40;56,3;48;86;3;;3;GOB;Asphalt;0/22;7;6;13;nein;;schwarz-grau;;;;;;;Asphalt;neutral;;3;Sammelprobe;70,0;;;;;;;;;;;;;;;;;
FB1;26.06.2020;"Plakolli, Mensur;Meyer, Ronny";32U 375643 5556658;K 35, NK 5809 018 – NK 5809 016, Stat. 0+100, FS FR Bruttig;Bk400;Handschurf;Kleinrammbohrung;FOK;1;nein;;;;;1;0,42;0,39;0,39;0,40;56,3;48;86;4;;4;GOB;Asphalt;0/32;6;13;19;nein;;schwarz-grau;;;;;;;Asphalt;neutral;;;;;;;;;;;;;;;;;;;;;
FB1;26.06.2020;"Plakolli, Mensur;Meyer, Ronny";32U 375643 5556658;K 35, NK 5809 018 – NK 5809 016, Stat. 0+100, FS FR Bruttig;Bk400;Handschurf;Kleinrammbohrung;FOK;1;nein;;;;;1;0,42;0,39;0,39;0,40;56,3;48;86;5;;5;TOB;Gem. a. G. (NS/LS);0/45;39;19;58;;BK, sg;braunrot;;;;;;Eimer 10L;Gem. a. G. (NS/LS);neutral;;;;;;;;;;;;;;;;;;;;;
FB1;26.06.2020;"Plakolli, Mensur;Meyer, Ronny";32U 375643 5556658;K 35, NK 5809 018 – NK 5809 016, Stat. 0+100, FS FR Bruttig;Bk400;Handschurf;Kleinrammbohrung;FOK;1;nein;;;;;1;0,42;0,39;0,39;0,40;56,3;48;86;6;;6;UG;GT - GT*;0/40;92;58;150;;;braun-graubraun;steif;?;6,8;;;Eimer 10L;Boden;neutral;;;;;;;;;;;;;;;;;;;;;
FB2;26.06.2020;"Plakolli, Mensur;Meyer, Ronny";32U 376100 5556931;K 35, NK 5809 018 – NK 5809 016, Stat. 0+600, FS FR Treis;Bk400;Handschurf;Kleinrammbohrung;FOK;0,3;nein;;;;;2;0,59;0,55;0,48;0,54;41,7;35;< 80;7;;1;GOB;Asphalt;0/8;4;0;4;nein;;schwarz-grau;;;;;;;Asphalt;neutral;;1;Sammelprobe;56,0;;;;;;;;;;;;;;;;;
FB2;26.06.2020;"Plakolli, Mensur;Meyer, Ronny";32U 376100 5556931;K 35, NK 5809 018 – NK 5809 016, Stat. 0+600, FS FR Treis;Bk400;Handschurf;Kleinrammbohrung;FOK;0,3;nein;;;;;2;0,59;0,55;0,48;0,54;41,7;35;< 80;8;;2;GOB;Asphalt;0/16;3,5;4;7,5;nein;;schwarz-grau;;;;;;;Asphalt;neutral;;2;Sammelprobe;51,0;;;;;;;;;;;;;;;;;
FB2;26.06.2020;"Plakolli, Mensur;Meyer, Ronny";32U 376100 5556931;K 35, NK 5809 018 – NK 5809 016, Stat. 0+600, FS FR Treis;Bk400;Handschurf;Kleinrammbohrung;FOK;0,3;nein;;;;;2;0,59;0,55;0,48;0,54;41,7;35;< 80;9;;3;GOB;Asphalt;0/22;9,5;7,5;17;nein;;schwarz-grau;;;;;;;Asphalt;neutral;;3;Sammelprobe;70,0;;;;;;;;;;;;;;;;;
FB2;26.06.2020;"Plakolli, Mensur;Meyer, Ronny";32U 376100 5556931;K 35, NK 5809 018 – NK 5809 016, Stat. 0+600, FS FR Treis;Bk400;Handschurf;Kleinrammbohrung;FOK;0,3;nein;;;;;2;0,59;0,55;0,48;0,54;41,7;35;< 80;10;;4;TOB;Gem. a. G. (LS);0/32;11;17;28;;BK, sg;rotbraun;;;;;;Eimer 10L;Gem. a. G. (LS);neutral;;;;;;;;;;;;;;;;;;;;;
